user_id,name,phone,age,sex,home_latitude,home_longitude
1,Katelyn Obrien,(01) 1398 2297,17,F,16.7869132,96.10020522
2,Dacey Holloway,(02) 1492 8649,42,M,16.67344674,96.17657135
3,Aiko Rutledge,(07) 8936 6541,51,M,16.87013946,96.19016412
4,Meghan Hayden,(04) 8464 6424,23,M,16.96738711,96.29461388
5,Ivana Charles,(01) 3727 3799,54,M,16.76552764,96.12751739
6,Zorita Curtis,(08) 4583 7560,30,M,16.88832784,96.21995672
7,Paloma Castro,(03) 8543 6931,47,M,16.73235526,96.18930669
8,Rhona Donaldson,(07) 9155 6195,50,F,16.9385027,96.14623125
9,Kiona Cooper,(06) 6680 8449,49,F,16.92894136,96.10574824
10,Bertha Lancaster,(05) 3479 3815,42,M,16.88230775,96.05297476
11,Halee Leblanc,(07) 5301 4034,51,F,17.01359385,96.19143381
12,MacKenzie Frazier,(06) 7501 3763,47,F,16.81335103,96.3251942
13,Yael Valentine,(07) 0643 1183,25,F,16.82129974,96.29623589
14,Brooke Christensen,(07) 6997 1046,14,F,16.67681896,96.1427175
15,Leah Thomas,(06) 0942 3807,25,M,16.84424983,96.19416658
16,Kylynn Ellison,(03) 8098 9538,42,M,16.88187445,96.06476067
17,Minerva Whitaker,(06) 7307 9496,57,M,16.78187268,96.16749152
18,Grace Wade,(03) 6313 5753,39,F,16.81158836,96.2144558
19,Holly Griffin,(02) 0017 3011,19,F,16.89649987,96.11627058
20,Brittany Greene,(06) 3615 7684,48,M,16.95506966,96.13167568
21,Madonna Duran,(04) 8972 1360,58,F,16.9648482,96.1681411
22,Iliana Berry,(08) 1979 0563,25,F,16.8379136,96.04100975
23,Brynn Nguyen,(01) 2292 0762,19,F,16.81917803,96.28436406
24,Frances Blake,(02) 8435 7356,45,F,16.81358397,96.29798293
25,Latifah Riddle,(04) 5433 8255,26,M,16.78780845,96.29610462
26,Avye Brown,(09) 8441 4060,52,M,16.89871984,96.19116156
27,Fallon Strickland,(07) 0172 0837,37,M,16.70115447,96.21550905
28,Lucy Stout,(02) 3913 1992,60,F,16.94251171,96.18554519
29,Ursa Rivera,(09) 5466 6102,37,M,16.78696462,96.01042095
30,Germane Miller,(01) 1074 4238,56,F,16.95531057,96.25642546
31,Ivana Booth,(09) 9681 7072,29,F,16.96334224,96.2458406
32,Rhea Flores,(08) 9688 5623,58,M,16.76497493,96.24906127
33,Amity Potter,(09) 5218 7467,46,M,16.9392297,96.26333546
34,Joelle Barrera,(03) 6102 4571,55,F,16.79245581,96.20387654
35,Latifah Tyler,(01) 0343 8111,38,M,16.79860987,95.99678895
36,Aurelia Pugh,(07) 5783 6742,12,M,16.85280299,96.24596438
37,Sheila Bryant,(04) 6677 3772,57,F,16.81471242,96.30823868
38,Angelica Todd,(08) 9781 9880,52,F,16.84281105,96.0912463
39,Ivana David,(01) 7980 9810,41,F,16.90327626,96.33923668
40,Lesley Byrd,(01) 0746 0837,29,F,16.93252038,96.09892749
41,Skyler Haynes,(02) 4010 1013,25,F,16.93115116,96.24255176
42,Sybill Ballard,(04) 2379 0185,12,M,16.87627381,96.21272161
43,Darrel Bray,(03) 6745 5690,40,F,16.73239393,96.22281532
44,Jaquelyn Levy,(09) 2744 9847,59,M,16.92443877,96.21489565
45,Kameko Hampton,(04) 3305 3447,18,F,16.90349975,96.22250949
46,Quynn Mosley,(09) 4221 5666,49,F,16.77548762,96.20298124
47,Candice Juarez,(01) 8057 8791,17,M,16.79479162,96.02985178
48,Stacy Hopper,(05) 1848 3498,42,F,16.96032762,96.11646395
49,Linda Booth,(06) 1185 2658,56,F,16.95637071,96.21847701
50,Patience Mcgee,(06) 3930 3801,13,M,16.83582953,96.31036259
51,Isabelle Hicks,(03) 3181 1675,41,M,16.85913068,96.27767934
52,Sonya Berry,(07) 5681 4030,22,F,16.99080104,96.09010707
53,Shaine Wolfe,(06) 2236 8545,48,M,16.73920837,96.23913822
54,Elizabeth Flores,(04) 3061 5821,42,M,16.75855424,96.33019492
55,Kyla Schultz,(01) 5916 6186,44,F,16.70311478,96.12541126
56,Orli Duncan,(02) 4455 5060,24,M,16.9173649,96.14993568
57,Danielle Armstrong,(02) 5549 2767,58,M,16.76884969,96.02249462
58,Casey Todd,(09) 2391 7694,31,M,16.85317527,96.04802977
59,Gwendolyn Calderon,(03) 6798 2876,43,M,16.84023198,96.21110824
60,Idola Ramos,(04) 3507 1044,12,M,16.82399881,96.10643426
61,Charity Gardner,(04) 9463 7221,40,F,16.92822655,96.12021083
62,Illiana White,(04) 0027 6078,48,F,16.68360751,96.1145703
63,Ariana Guzman,(08) 0112 2462,40,F,16.77401137,96.3463205
64,Harriet Davidson,(01) 9466 6657,21,F,16.81962234,96.11057219
65,Cathleen Barker,(03) 4241 1603,56,F,16.96338888,96.23862607
66,Brooke Mcdonald,(07) 1522 6593,25,F,16.78390825,96.07430721
67,Dahlia Richmond,(07) 9686 6185,24,M,16.92415923,96.26373672
68,Guinevere Hoover,(06) 3570 5582,50,F,17.01141362,96.13487281
69,Emma Kramer,(05) 6578 1510,23,F,16.91502958,96.09349026
70,Regan Ryan,(04) 4523 7390,56,F,16.89115838,96.19967938
71,Joelle Hicks,(02) 6654 6242,35,M,16.83443001,96.10728714
72,Stacey Calderon,(07) 3743 9439,19,F,16.68386986,96.10520055
73,Simone Anderson,(06) 9015 1484,50,F,16.90405672,96.08716373
74,Virginia Mcclure,(06) 3909 2155,15,M,16.97463398,96.22698318
75,Chiquita Hines,(09) 9529 1325,49,F,16.97794726,96.19488201
76,Allegra Strickland,(08) 9647 8210,40,M,16.74614191,96.29575725
77,Rhiannon Chapman,(01) 0977 3833,46,F,16.96989944,96.23179259
78,Idona Mcintosh,(07) 3940 5972,39,F,16.93670457,96.16560785
79,Winter Shields,(07) 8702 4981,13,F,16.78104485,96.22574292
80,Adena Cantrell,(03) 4210 6456,40,M,16.78839487,96.33623587
81,Ella Webb,(06) 1566 4908,27,F,16.93015365,96.12402134
82,Jaime Gordon,(04) 1481 2698,46,M,16.89528254,96.17187872
83,Anika Mcmillan,(04) 3114 6920,38,F,16.88660744,96.25236277
84,Lesley Finley,(07) 1163 6747,39,F,16.85231451,96.02454938
85,Stephanie Diaz,(05) 9236 8262,22,M,16.82108288,96.19692232
86,Regina Lynn,(01) 1743 2615,12,M,16.88338403,96.14460964
87,Halee Weaver,(08) 8758 4588,58,F,16.72612786,96.07172128
88,Tamekah Ray,(04) 0668 7129,38,M,16.98443784,96.15407087
89,Delilah Christensen,(03) 3160 5616,17,F,16.71534069,96.10380459
90,Xena Avila,(06) 8777 1473,17,M,16.67783279,96.14050452
91,Jane Lynch,(09) 3029 2169,19,F,16.78056856,96.33353652
92,Lavinia Hines,(03) 5576 1135,37,M,16.90491097,96.05144935
93,Lillith Gregory,(05) 2952 7790,50,M,16.66641067,96.15721744
94,Melinda Hardy,(09) 3187 0880,54,M,16.82840399,96.22904078
95,Roanna Calhoun,(03) 6058 6631,24,F,16.9096529,96.04495683
96,Blaine Watts,(03) 4888 2965,45,M,16.71260766,96.06241088
97,Oprah Vance,(07) 4609 3812,53,F,16.7709902,96.3384826
98,Jena Yang,(05) 2272 3724,43,M,16.84772717,96.01206433
99,Ariel Booker,(03) 5557 7175,23,M,16.71707663,96.29445657
